sample_name,cycle,fluorescence,sample_type,primer_set,temperature,mastermix,well,column,row,normalization,experiment,subtitle,plate,plate_title,sample_ID,short_name,plot_cycle,data_class,sample_ID_ton,sample_name_old,short_name_old,temp_num,plate_well,sample_richness,sample_counts,sample_type_richness,sample_type_counts,contaminants,reads_with_contaminants,input,filtered,percentage.of.input.passed.filter,denoised,non.chimeric,percentage.of.input.non.chimeric,fastq_reads,trimmed_reads,filtered_reads,denoised_reads,chimeric_reads,contaminant_table_reads,contaminant_reads,usable_reads,p_fastq_reads,p_trimmed_reads,p_filtered_reads,p_denoised_reads,p_chimeric_reads,p_contaminant_reads,p_contaminant_table_reads,p_usable_reads
doubleton_G4_Feces_Fixed_24_A2,24,266,Feces,Standard,47°C,QB,A2,2,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_A2,G4_Feces_Fixed_24_A2,QB_Standard_fixed cycles_Feces_47°C,47C,1A2,1971,45369,3980,1519967,removed,45411,102618,80190,78.14,48037,45502,44.34,105300,2682,22428,32153,2535,42,133,45369,100,2.55,21.3,30.53,2.41,0.13,0.04,43.09
doubleton_G4_Feces_Fixed_24_A3,24,462,Feces,Standard,52°C,QB,A3,3,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_A3,G4_Feces_Fixed_24_A3,QB_Standard_fixed cycles_Feces_52°C,52C,1A3,1917,47027,3980,1519967,removed,47063,106473,90502,85,50737,47134,44.27,106888,415,15971,39765,3603,36,107,47027,100,0.39,14.94,37.2,3.37,0.1,0.03,44
doubleton_G4_Feces_Fixed_24_A4,24,496,Feces,Standard,57°C,QB,A4,4,A,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_A4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_A4,G4_Feces_Fixed_24_A4,QB_Standard_fixed cycles_Feces_57°C,57C,1A4,1733,37745,3980,1519967,removed,37781,91178,78386,85.97,41233,37803,41.46,91285,107,12792,37153,3430,36,58,37745,100,0.12,14.01,40.7,3.76,0.06,0.04,41.35
doubleton_G4_Feces_Fixed_24_B2,24,526,Feces,Standard,47°C,QB,B2,2,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_B2,G4_Feces_Fixed_24_B2,QB_Standard_fixed cycles_Feces_47°C,47C,1B2,1989,44862,3980,1519967,removed,44895,101665,79540,78.24,47576,44997,44.26,104783,3118,22125,31964,2579,33,135,44862,100,2.98,21.12,30.5,2.46,0.13,0.03,42.81
doubleton_G4_Feces_Fixed_24_B3,24,496,Feces,Standard,52°C,QB,B3,3,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_B3,G4_Feces_Fixed_24_B3,QB_Standard_fixed cycles_Feces_52°C,52C,1B3,1998,52088,3980,1519967,removed,52128,116240,98922,85.1,56200,52181,44.89,116745,505,17318,42722,4019,40,93,52088,100,0.43,14.83,36.59,3.44,0.08,0.03,44.62
doubleton_G4_Feces_Fixed_24_B4,24,581,Feces,Standard,57°C,QB,B4,4,B,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_B4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_B4,G4_Feces_Fixed_24_B4,QB_Standard_fixed cycles_Feces_57°C,57C,1B4,1857,41388,3980,1519967,removed,41417,89617,77041,85.97,44078,41449,46.25,89680,63,12576,32963,2629,29,61,41388,100,0.07,14.02,36.76,2.93,0.07,0.03,46.15
doubleton_G4_Feces_Fixed_24_C2,24,477,Feces,Standard,47°C,QB,C2,2,C,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_C2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_C2,G4_Feces_Fixed_24_C2,QB_Standard_fixed cycles_Feces_47°C,47C,1C2,2071,48828,3980,1519967,removed,48876,105124,83506,79.44,51721,48987,46.6,108013,2889,21618,31785,2734,48,159,48828,100,2.67,20.01,29.43,2.53,0.15,0.04,45.21
doubleton_G4_Feces_Fixed_24_C3,24,499,Feces,Standard,52°C,QB,C3,3,C,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_C3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_C3,G4_Feces_Fixed_24_C3,QB_Standard_fixed cycles_Feces_52°C,52C,1C3,1976,48536,3980,1519967,removed,48577,108893,92808,85.23,52556,48628,44.66,109385,492,16085,40252,3928,41,92,48536,100,0.45,14.7,36.8,3.59,0.08,0.04,44.37
doubleton_G4_Feces_Fixed_24_C4,24,545,Feces,Standard,57°C,QB,C4,4,C,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_C4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_C4,G4_Feces_Fixed_24_C4,QB_Standard_fixed cycles_Feces_57°C,57C,1C4,1843,41725,3980,1519967,removed,41761,90962,78254,86.03,44641,41826,45.98,91053,91,12708,33613,2815,36,101,41725,100,0.1,13.96,36.92,3.09,0.11,0.04,45.82
doubleton_G4_Feces_Fixed_24_D2,24,427,Feces,Standard,47°C,QB,D2,2,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D2,doubleton_QB_Standard_fixed cycles_Feces_47°C,cycle_24,doubleton,D_G4_1_D2,G4_Feces_Fixed_24_D2,QB_Standard_fixed cycles_Feces_47°C,47C,1D2,1811,33699,3980,1519967,removed,33726,77570,61266,78.98,35540,33780,43.55,79920,2350,16304,25726,1760,27,81,33699,100,2.94,20.4,32.19,2.2,0.1,0.03,42.17
doubleton_G4_Feces_Fixed_24_D3,24,510,Feces,Standard,52°C,QB,D3,3,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D3,doubleton_QB_Standard_fixed cycles_Feces_52°C,cycle_24,doubleton,D_G4_1_D3,G4_Feces_Fixed_24_D3,QB_Standard_fixed cycles_Feces_52°C,52C,1D3,2006,53108,3980,1519967,removed,53145,119023,101111,84.95,57286,53198,44.7,119571,548,17912,43825,4088,37,90,53108,100,0.46,14.98,36.65,3.42,0.08,0.03,44.42
doubleton_G4_Feces_Fixed_24_D4,24,469,Feces,Standard,57°C,QB,D4,4,D,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_D4,doubleton_QB_Standard_fixed cycles_Feces_57°C,cycle_24,doubleton,D_G4_1_D4,G4_Feces_Fixed_24_D4,QB_Standard_fixed cycles_Feces_57°C,57C,1D4,1730,35874,3980,1519967,removed,35910,82809,70851,85.56,38377,35938,43.4,82929,120,11958,32474,2439,36,64,35874,100,0.14,14.42,39.16,2.94,0.08,0.04,43.26
doubleton_G4_Feces_Fixed_24_E2,24,167,NTC,Standard,47°C,QB,E2,2,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,doubleton,D_G4_1_E2,G4_Feces_Fixed_24_E2,QB_Standard_fixed cycles_NTC_47°C,47C,1E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_E3,24,194,NTC,Standard,52°C,QB,E3,3,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_24,doubleton,D_G4_1_E3,G4_Feces_Fixed_24_E3,QB_Standard_fixed cycles_NTC_52°C,52C,1E3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_E4,24,192,NTC,Standard,57°C,QB,E4,4,E,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_E4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_E4,G4_Feces_Fixed_24_E4,QB_Standard_fixed cycles_NTC_57°C,57C,1E4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_F2,24,180,NTC,Standard,47°C,QB,F2,2,F,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_F2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,doubleton,D_G4_1_F2,G4_Feces_Fixed_24_F2,QB_Standard_fixed cycles_NTC_47°C,47C,1F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_F3,24,159,NTC,Standard,52°C,QB,F3,3,F,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_F3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_24,doubleton,D_G4_1_F3,G4_Feces_Fixed_24_F3,QB_Standard_fixed cycles_NTC_52°C,52C,1F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_F4,24,193,NTC,Standard,57°C,QB,F4,4,F,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_F4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_F4,G4_Feces_Fixed_24_F4,QB_Standard_fixed cycles_NTC_57°C,57C,1F4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_G2,24,186,NTC,Standard,47°C,QB,G2,2,G,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_G2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,doubleton,D_G4_1_G2,G4_Feces_Fixed_24_G2,QB_Standard_fixed cycles_NTC_47°C,47C,1G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_G3,24,191,NTC,Standard,52°C,QB,G3,3,G,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_G3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_24,doubleton,D_G4_1_G3,G4_Feces_Fixed_24_G3,QB_Standard_fixed cycles_NTC_52°C,52C,1G3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_G4,24,175,NTC,Standard,57°C,QB,G4,4,G,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_G4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_G4,G4_Feces_Fixed_24_G4,QB_Standard_fixed cycles_NTC_57°C,57C,1G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H2,24,126,NTC,Standard,47°C,QB,H2,2,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_24,doubleton,D_G4_1_H2,G4_Feces_Fixed_24_H2,QB_Standard_fixed cycles_NTC_47°C,47C,1H2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H3,24,142,NTC,Standard,52°C,QB,H3,3,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_24,doubleton,D_G4_1_H3,G4_Feces_Fixed_24_H3,QB_Standard_fixed cycles_NTC_52°C,52C,1H3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_Fixed_24_H4,24,148,NTC,Standard,57°C,QB,H4,4,H,fixed cycles,G4,Feces_Fixed_24,1,plate_1: 24 cycles Feces,G4_1_H4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_24,doubleton,D_G4_1_H4,G4_Feces_Fixed_24_H4,QB_Standard_fixed cycles_NTC_57°C,57C,1H4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_A2,17,353,Feces,Standard,47°C,QB,A2,2,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_17,doubleton,D_G4_2_A2,G4_Feces_FL_350_A2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2A2,2450,72466,3980,1519967,removed,72514,91665,78294,85.41,72842,72610,79.21,92076,411,13371,5452,232,48,144,72466,100,0.45,14.52,5.92,0.25,0.16,0.05,78.7
doubleton_G4_Feces_FL_350_A3,18,383,Feces,Standard,52°C,QB,A3,3,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_18,doubleton,D_G4_2_A3,G4_Feces_FL_350_A3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2A3,2338,70930,3980,1519967,removed,70984,107837,92575,85.85,72709,71051,65.89,107972,135,15262,19866,1658,54,121,70930,100,0.13,14.14,18.4,1.54,0.11,0.05,65.69
doubleton_G4_Feces_FL_350_A4,17,358,Feces,Standard,57°C,QB,A4,4,A,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_A4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_17,doubleton,D_G4_2_A4,G4_Feces_FL_350_A4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2A4,2476,80965,3980,1519967,removed,81044,103049,88703,86.08,81483,81114,78.71,103101,52,14346,7220,369,79,149,80965,100,0.05,13.91,7,0.36,0.14,0.08,78.53
doubleton_G4_Feces_FL_350_B2,18,387,Feces,Standard,47°C,QB,B2,2,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_18,doubleton,D_G4_2_B2,G4_Feces_FL_350_B2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2B2,2535,85751,3980,1519967,removed,85821,113013,95978,84.93,86453,85917,76.02,113732,719,17035,9525,536,70,166,85751,100,0.63,14.98,8.37,0.47,0.15,0.06,75.4
doubleton_G4_Feces_FL_350_B3,24,124,Feces,Standard,52°C,QB,B3,3,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_24,doubleton,D_G4_2_B3,G4_Feces_FL_350_B3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2B3,25,62,3980,1519967,removed,74,686,591,86.15,74,74,10.79,696,10,95,517,0,12,12,62,100,1.44,13.65,74.28,0,1.72,1.72,8.91
doubleton_G4_Feces_FL_350_B4,24,139,Feces,Standard,57°C,QB,B4,4,B,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_B4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_24,doubleton,D_G4_2_B4,G4_Feces_FL_350_B4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2B4,27,66,3980,1519967,removed,73,768,644,83.85,73,73,9.51,774,6,124,571,0,7,7,66,100,0.78,16.02,73.77,0,0.9,0.9,8.53
doubleton_G4_Feces_FL_350_C2,17,352,Feces,Standard,47°C,QB,C2,2,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_17,doubleton,D_G4_2_C2,G4_Feces_FL_350_C2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2C2,2522,78919,3980,1519967,removed,78962,98982,84509,85.38,79344,79074,79.89,99457,475,14473,5165,270,43,155,78919,100,0.48,14.55,5.19,0.27,0.16,0.04,79.35
doubleton_G4_Feces_FL_350_C3,17,381,Feces,Standard,52°C,QB,C3,3,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_17,doubleton,D_G4_2_C3,G4_Feces_FL_350_C3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2C3,2466,79914,3980,1519967,removed,79995,101466,86951,85.69,80495,80115,78.96,101551,85,14515,6456,380,81,201,79914,100,0.08,14.29,6.36,0.37,0.2,0.08,78.69
doubleton_G4_Feces_FL_350_C4,17,369,Feces,Standard,57°C,QB,C4,4,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_17,doubleton,D_G4_2_C4,G4_Feces_FL_350_C4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2C4,2403,76755,3980,1519967,removed,76820,95297,82120,86.17,77097,76895,80.69,95333,36,13177,5023,202,65,140,76755,100,0.04,13.82,5.27,0.21,0.15,0.07,80.51
